Unnamed: 0,index,latitude,longitude,scan,track,acq_date,acq_time,satellite,instrument,version,Wildfire_Intensity,frp,daynight,type,Cities,States,Counties,precipitation,min_tmp,max_tmp,wind_speed,humidity,air_pressure
0,7,34.007,-117.37899999999999,1.1,1.1,2019-01-01,2053,Aqua,MODIS,6.03,288.6,6.5,D,2,Rubidoux,California,Riverside County,,0.0,0.0,0.0,0,0.0
1,32,37.4482,-121.4345,1.5,1.2,2019-01-02,2137,Aqua,MODIS,6.03,287.0,15.8,D,0,Tracy,California,San Joaquin County,,0.0,0.0,0.0,0,0.0
2,33,37.7627,-120.9014,1.6,1.3,2019-01-02,2137,Aqua,MODIS,6.03,286.4,17.6,D,0,Riverbank,California,Stanislaus County,,0.0,0.0,0.0,0,0.0
3,34,38.7975,-122.17,1.4,1.2,2019-01-02,2137,Aqua,MODIS,6.03,287.3,7.7,D,0,Esparto,California,Yolo County,,0.0,0.0,0.0,0,0.0
4,35,39.2106,-121.6701,1.5,1.2,2019-01-02,2137,Aqua,MODIS,6.03,285.1,14.4,D,0,Tierra Buena,California,Sutter County,,0.0,0.0,0.0,0,0.0
5,36,39.2267,-122.2218,1.4,1.2,2019-01-02,2137,Aqua,MODIS,6.03,288.6,52.6,D,0,Maxwell,California,Colusa County,,0.0,0.0,0.0,0,0.0
6,37,39.2693,-122.2289,1.4,1.2,2019-01-02,2137,Aqua,MODIS,6.03,287.9,15.2,D,0,Maxwell,California,Colusa County,,0.0,0.0,0.0,0,0.0
7,38,39.2676,-122.2455,1.4,1.2,2019-01-02,2137,Aqua,MODIS,6.03,288.4,17.6,D,0,Maxwell,California,Colusa County,,0.0,0.0,0.0,0,0.0
8,39,39.3795,-122.0292,1.5,1.2,2019-01-02,2137,Aqua,MODIS,6.03,286.6,47.1,D,0,Colusa,California,Colusa County,,0.0,0.0,0.0,0,0.0
9,40,39.3778,-122.0463,1.5,1.2,2019-01-02,2137,Aqua,MODIS,6.03,287.6,40.0,D,0,Colusa,California,Colusa County,,0.0,0.0,0.0,0,0.0
10,41,39.749,-121.9734,1.5,1.2,2019-01-02,2137,Aqua,MODIS,6.03,284.4,19.2,D,0,Hamilton City,California,Glenn County,,0.0,0.0,0.0,0,0.0
11,61,36.4911,-121.3633,1.0,1.0,2019-01-03,1903,Terra,MODIS,6.03,286.6,4.8,D,0,Soledad,California,Monterey County,,0.0,0.0,0.0,0,0.0
12,64,38.7049,-122.0142,1.0,1.0,2019-01-03,1903,Terra,MODIS,6.03,284.3,6.7,D,0,Esparto,California,Yolo County,,0.0,0.0,0.0,0,0.0
13,65,38.4728,-122.391,1.0,1.0,2019-01-03,1903,Terra,MODIS,6.03,283.6,9.6,D,0,Yountville,California,Napa County,,0.0,0.0,0.0,0,0.0
14,66,38.4712,-122.3796,1.0,1.0,2019-01-03,1903,Terra,MODIS,6.03,284.4,11.0,D,0,Yountville,California,Napa County,,0.0,0.0,0.0,0,0.0
15,67,37.8169,-121.1405,1.0,1.0,2019-01-03,1903,Terra,MODIS,6.03,281.7,6.9,D,0,Ripon,California,San Joaquin County,,0.0,0.0,0.0,0,0.0
16,68,36.9212,-118.19200000000001,1.3,1.1,2019-01-03,1903,Terra,MODIS,6.03,283.4,13.7,D,0,Big Pine,California,Inyo County,,0.0,0.0,0.0,0,0.0
17,69,34.5904,-120.0459,1.1,1.1,2019-01-03,1904,Terra,MODIS,6.03,289.0,6.7,D,0,Santa Ynez,California,Santa Barbara County,,0.0,0.0,0.0,0,0.0
18,70,34.6165,-120.3166,1.1,1.1,2019-01-03,1904,Terra,MODIS,6.03,289.5,5.0,D,0,Buellton,California,Santa Barbara County,,0.0,0.0,0.0,0,0.0
19,71,34.4049,-119.5072,1.2,1.1,2019-01-03,1904,Terra,MODIS,6.03,290.0,3.4,D,2,Carpinteria,California,Santa Barbara County,,0.0,0.0,0.0,0,0.0
20,78,35.2679,-119.48100000000001,2.0,1.4,2019-01-03,2041,Aqua,MODIS,6.03,290.2,8.8,D,0,Ford City,California,Kern County,,0.0,0.0,0.0,0,0.0
21,79,35.2697,-119.4862,2.0,1.4,2019-01-03,2041,Aqua,MODIS,6.03,289.9,12.9,D,0,Ford City,California,Kern County,,0.0,0.0,0.0,0,0.0
22,80,39.7183,-120.3186,1.8,1.3,2019-01-03,2042,Aqua,MODIS,6.03,279.3,23.5,D,0,Portola,California,Plumas County,,0.0,0.0,0.0,0,0.0
23,81,39.7142,-120.3386,1.8,1.3,2019-01-03,2042,Aqua,MODIS,6.03,279.0,25.1,D,0,Portola,California,Plumas County,,0.0,0.0,0.0,0,0.0
24,126,35.7342,-121.2735,4.0,1.9,2019-01-04,1946,Terra,MODIS,6.03,284.6,103.4,D,0,Cambria,California,San Luis Obispo County,,0.0,0.0,0.0,0,0.0
25,127,35.7287,-121.2792,4.0,1.9,2019-01-04,1946,Terra,MODIS,6.03,285.3,91.8,D,0,Cambria,California,San Luis Obispo County,,0.0,0.0,0.0,0,0.0
26,130,34.3561,-118.9611,1.3,1.1,2019-01-04,2124,Aqua,MODIS,6.03,293.1,8.0,D,0,Fillmore,California,Ventura County,,0.0,0.0,0.0,0,0.0
27,131,34.3584,-119.0312,1.3,1.1,2019-01-04,2124,Aqua,MODIS,6.03,293.0,7.5,D,2,Santa Paula,California,Ventura County,,0.0,0.0,0.0,0,0.0
28,132,35.7408,-121.2982,1.1,1.0,2019-01-04,2124,Aqua,MODIS,6.03,291.6,26.3,D,0,Cambria,California,San Luis Obispo County,,0.0,0.0,0.0,0,0.0
29,133,35.7393,-121.3095,1.1,1.0,2019-01-04,2124,Aqua,MODIS,6.03,290.3,8.0,D,0,Cambria,California,San Luis Obispo County,,0.0,0.0,0.0,0,0.0
30,134,36.5779,-121.4879,1.1,1.0,2019-01-04,2124,Aqua,MODIS,6.03,292.5,5.8,D,0,Chualar,California,Monterey County,,0.0,0.0,0.0,0,0.0
31,135,36.5764,-121.4997,1.1,1.0,2019-01-04,2124,Aqua,MODIS,6.03,292.1,4.8,D,0,Chualar,California,Monterey County,,0.0,0.0,0.0,0,0.0
32,136,37.4488,-121.436,1.1,1.0,2019-01-04,2124,Aqua,MODIS,6.03,289.5,6.4,D,0,Tracy,California,San Joaquin County,,0.0,0.0,0.0,0,0.0
33,137,38.5313,-120.4714,1.2,1.1,2019-01-04,2125,Aqua,MODIS,6.03,283.8,13.2,D,0,Pioneer,California,Amador County,,0.0,0.0,0.0,0,0.0
34,138,38.5298,-120.4849,1.2,1.1,2019-01-04,2125,Aqua,MODIS,6.03,284.5,36.6,D,0,Pioneer,California,Amador County,,0.0,0.0,0.0,0,0.0
35,139,38.8371,-120.4635,1.2,1.1,2019-01-04,2125,Aqua,MODIS,6.03,277.5,13.7,D,0,Pollock Pines,California,El Dorado County,,0.0,0.0,0.0,0,0.0
36,140,38.8355,-120.4773,1.2,1.1,2019-01-04,2125,Aqua,MODIS,6.03,280.2,9.9,D,0,Pollock Pines,California,El Dorado County,,0.0,0.0,0.0,0,0.0
37,141,38.847,-120.465,1.2,1.1,2019-01-04,2125,Aqua,MODIS,6.03,279.0,14.3,D,0,Pollock Pines,California,El Dorado County,,0.0,0.0,0.0,0,0.0
38,142,38.8883,-122.5276,1.0,1.0,2019-01-04,2125,Aqua,MODIS,6.03,287.6,8.3,D,0,Lower Lake,California,Lake County,,0.0,0.0,0.0,0,0.0
39,143,38.927,-122.7253,1.0,1.0,2019-01-04,2125,Aqua,MODIS,6.03,285.8,10.3,D,0,Soda Bay,California,Lake County,,0.0,0.0,0.0,0,0.0
40,144,39.0293,-122.5701,1.0,1.0,2019-01-04,2125,Aqua,MODIS,6.03,288.4,5.3,D,0,Clearlake,California,Lake County,,0.0,0.0,0.0,0,0.0
41,145,38.9461,-123.4648,1.0,1.0,2019-01-04,2125,Aqua,MODIS,6.03,284.8,6.2,D,0,Boonville,California,Mendocino County,,0.0,0.0,0.0,0,0.0
